,날짜,미국,스페인,이탈리아,독일,영국,프랑스,터키,이란,중국,벨기에,캐나다,네덜란드,스위스,일본,한국,인도네시아,필리핀,태국,베트남
0,04.21,"783,290명","200,210명","181,228명","146,653명","124,743명","114,657명","90,980명","83,505명","82,758명","39,983명","35,383명","33,405명","27,944명","11,118명","10,683명","6,575명","6,259명","2,792명",268명
1,04.22,"823,257명","204,178명","183,957명","148,291명","129,044명","117,324명","95,591명","84,802명","82,788명","40,956명","38,413명","34,134명","28,063명","11,496명","10,694명","6,760명","6,459명","2,811명",268명
2,04.23,"837,947명","208,389명","187,327명","150,062명","133,495명","119,151명","98,674명","85,996명","82,798명","41,889명","38,923명","34,842명","28,268명","11,919명","10,702명","7,135명","6,599명","2,826명",268명
3,04.24,"873,137명","213,024명","189,973명","153,129명","138,078명","120,804명","101,790명","87,026명","82,804명","42,797명","42,099명","35,729명","28,496명","12,388명","10,708명","7,418명","6,710명","2,839명",268명
4,04.25,"890,524명","219,764명","192,994명","154,545명","143,464명","122,577명","104,912명","88,194명","82,816명","44,293명","42,739명","36,535명","28,677명","12,829명","10,718명","7,775명","6,981명","2,854명",268명
5,04.26,"933,933명","223,759명","195,351명","156,418명","148,377명","124,114명","107,773명","89,328명","82,827명","45,325명","45,341명","37,190명","28,894명","13,182명","10,728명","8,211명","7,152명","2,907명",270명
6,04.27,"963,168명","207,634명","197,675명","157,495명","152,840명","124,575명","110,130명","90,481명","82,830명","46,134명","45,778명","37,845명","29,061명","13,385명","10,738명","8,607명","7,294명","2,922명",270명
7,누적사망자수,"(54,810명)","(23,190명)","(26,644명)","(5,944명)","(20,732명)","(22,856명)","(2,805명)","(5,710명)","(4,633명)","(7,094명)","(2,489명)","(4,475명)","(1,337명)",(351명),(243명),(720명),(494명),(51명),(0명)
